Applicant_ID,default_status
Apcnt_1000032,1
Apcnt_1000048,1
Apcnt_1000052,1
Apcnt_1000076,1
Apcnt_1000080,1
Apcnt_1000084,1
Apcnt_1000104,1
Apcnt_1000116,1
Apcnt_1000128,1
Apcnt_1000156,1
Apcnt_1000192,1
Apcnt_1000208,1
Apcnt_1000264,1
Apcnt_1000288,1
Apcnt_1000292,1
Apcnt_1000328,1
Apcnt_1000336,1
Apcnt_1000356,1
Apcnt_1000368,1
Apcnt_1000372,1
Apcnt_1000392,1
Apcnt_1000396,1
Apcnt_1000400,1
Apcnt_1000416,1
Apcnt_1000428,1
Apcnt_1000440,1
Apcnt_1000456,1
Apcnt_1000472,1
Apcnt_1000488,1
Apcnt_1000492,1
Apcnt_1000504,1
Apcnt_1000516,1
Apcnt_1000532,1
Apcnt_1000552,1
Apcnt_1000564,1
Apcnt_1000576,1
Apcnt_1000596,1
Apcnt_1000620,1
Apcnt_1000624,1
Apcnt_1000636,1
Apcnt_1000648,1
Apcnt_1000668,1
Apcnt_1000680,1
Apcnt_1000696,1
Apcnt_1000704,1
Apcnt_1000724,1
Apcnt_1000740,1
Apcnt_1000744,1
Apcnt_1000756,1
Apcnt_1000768,1
Apcnt_1000784,1
Apcnt_1000796,1
Apcnt_1000808,1
Apcnt_1000816,1
Apcnt_1000820,1
Apcnt_1000824,1
Apcnt_1000856,1
Apcnt_1000872,1
Apcnt_1000880,1
Apcnt_1000904,1
Apcnt_1000912,1
Apcnt_1000920,1
Apcnt_1000952,1
Apcnt_1000960,1
Apcnt_1000964,1
Apcnt_1000968,1
Apcnt_1000976,1
Apcnt_1000984,1
Apcnt_1000992,1
Apcnt_1000996,1
Apcnt_1001000,1
Apcnt_1001008,1
Apcnt_1001028,1
Apcnt_1001032,1
Apcnt_1001036,1
Apcnt_1001040,1
Apcnt_1001048,1
Apcnt_1001052,1
Apcnt_1001068,1
Apcnt_1001076,1
Apcnt_1001080,1
Apcnt_1001092,1
Apcnt_1001120,1
Apcnt_1001144,1
Apcnt_1001148,1
Apcnt_1001168,1
Apcnt_1001176,1
Apcnt_1001200,1
Apcnt_1001224,1
Apcnt_1001228,1
Apcnt_1001236,1
Apcnt_1001244,1
Apcnt_1001248,1
